DATE,SM_ROOTZONE,SM_SURFACE,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS,CITY,FLOOD
2016-01-01,0.3916429579257965,0.4017671346664428,24.4,25.55,29.07,22.48,18.31,86.79,1.34,97.06,Bogor,1
2016-01-02,0.3992931842803955,0.4168855249881744,22.6,25.11,28.06,23.23,18.49,89.94,2.1,97.1,Bogor,0
2016-01-03,0.400872141122818,0.414726585149765,18.94,25.6,29.49,22.55,18.08,86.0,2.18,97.11,Bogor,0
2016-01-04,0.4016821980476379,0.4150015115737915,6.63,25.17,27.59,23.31,18.08,87.76,1.38,97.13,Bogor,0
2016-01-05,0.4004628658294678,0.4132142066955566,14.4,25.69,29.34,23.12,18.52,87.36,1.37,97.05,Bogor,0
2016-01-06,0.4002598524093628,0.4124955832958221,6.99,26.06,29.76,23.73,18.75,86.59,1.91,97.07,Bogor,0
2016-01-07,0.3972523212432861,0.3940827846527099,0.45,26.08,30.13,23.02,18.38,85.11,2.27,97.1,Bogor,0
2016-01-08,0.3928029835224151,0.3837191760540008,0.03,25.74,30.82,21.45,17.18,81.98,2.45,97.02,Bogor,0
2016-01-09,0.3949144780635834,0.4049571454524994,0.57,26.39,31.27,22.27,17.54,80.24,1.54,96.96,Bogor,0
2016-01-10,0.3939666748046875,0.3966843485832214,2.73,25.91,29.56,23.33,17.98,83.89,2.28,97.03,Bogor,0
2016-01-11,0.3920385837554931,0.3958892822265625,4.01,26.58,31.5,22.88,17.51,79.4,1.2,96.96,Bogor,0
2016-01-12,0.3966108858585357,0.4119386672973633,11.76,25.99,29.88,23.07,18.12,84.08,2.05,96.9,Bogor,0
2016-01-13,0.3988973796367645,0.4112069606781006,15.83,26.1,30.49,22.67,18.13,83.71,2.28,96.86,Bogor,0
2016-01-14,0.3983134925365448,0.4071535170078277,3.83,25.89,29.61,23.55,18.55,86.22,1.93,96.8,Bogor,0
2016-01-15,0.3974265456199646,0.4050478637218475,2.46,25.67,29.02,23.57,18.25,85.85,1.67,96.79,Bogor,0
2016-01-16,0.3936303555965423,0.3904749751091003,0.11,25.8,29.51,22.79,16.68,78.73,1.29,96.75,Bogor,0
2016-01-17,0.3977351188659668,0.4094333052635193,3.44,26.43,31.88,21.85,17.51,79.78,1.47,96.76,Bogor,0
2016-01-18,0.4024686515331268,0.4149893224239349,7.48,25.11,27.56,23.07,18.19,87.98,1.96,96.74,Bogor,0
2016-01-19,0.4027296006679535,0.4183449745178222,17.2,25.5,30.11,21.34,17.44,83.46,2.29,96.82,Bogor,0
2016-01-20,0.4103004932403564,0.4290384948253631,20.55,24.9,27.99,22.56,17.96,88.44,2.68,96.98,Bogor,0
