DATE,SM_ROOTZONE,SM_SURFACE,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS,CITY,FLOOD
2016-01-01,0.3642686903476715,0.3559755086898803,21.2,27.86,29.6,26.69,19.67,84.21,2.26,101.05,Jakarta,0
2016-01-02,0.365617036819458,0.3679963648319244,21.77,27.5,29.23,26.58,20.05,87.77,3.54,101.1,Jakarta,0
2016-01-03,0.365227609872818,0.3613971173763275,15.55,27.8,30.03,25.94,19.49,84.1,3.22,101.11,Jakarta,0
2016-01-04,0.3632453083992004,0.3527151346206665,10.38,27.9,29.64,26.56,19.58,83.88,1.97,101.1,Jakarta,0
2016-01-05,0.3620259761810303,0.3517823219299316,9.37,27.58,29.49,26.24,19.64,85.62,2.16,101.05,Jakarta,0
2016-01-06,0.3614567518234253,0.3477678000926971,2.0,28.05,30.41,26.21,19.64,83.49,2.75,101.06,Jakarta,0
2016-01-07,0.3591969013214111,0.3290345668792724,0.21,28.28,30.74,26.43,19.49,81.82,3.02,101.08,Jakarta,0
2016-01-08,0.3560293018817901,0.3120486438274383,0.1,28.23,30.92,25.95,19.03,80.26,2.78,100.99,Jakarta,0
2016-01-09,0.3556993901729584,0.3231547772884369,0.29,28.59,31.15,26.73,18.81,77.55,1.76,100.93,Jakarta,0
2016-01-10,0.3534698486328125,0.3139817118644714,0.83,28.45,30.77,26.76,18.94,78.63,2.38,100.99,Jakarta,0
2016-01-11,0.3538916110992431,0.333770751953125,1.41,28.76,31.4,26.99,18.59,75.99,1.81,100.94,Jakarta,0
2016-01-12,0.3578688204288482,0.3545503616333008,3.96,28.5,30.67,26.84,18.93,78.31,2.63,100.87,Jakarta,1
2016-01-13,0.361681193113327,0.3624703884124756,5.55,28.37,30.84,26.32,19.37,80.72,3.47,100.82,Jakarta,0
2016-01-14,0.3603954017162323,0.3479036390781402,1.98,28.47,30.26,26.8,19.55,80.83,2.96,100.76,Jakarta,0
2016-01-15,0.3587302565574646,0.3412661254405975,1.56,28.24,30.03,26.9,19.2,80.4,1.73,100.75,Jakarta,0
2016-01-16,0.3557122647762298,0.3241145014762878,0.15,28.26,30.26,26.66,18.77,78.6,1.59,100.71,Jakarta,0
2016-01-17,0.3614497184753418,0.3594912886619568,1.49,28.84,31.91,26.43,18.47,75.04,2.02,100.73,Jakarta,0
2016-01-18,0.3637265861034393,0.3569906651973724,3.22,28.48,30.52,27.14,18.91,78.04,2.21,100.73,Jakarta,0
2016-01-19,0.3635755479335785,0.3628487586975097,7.65,28.75,31.76,26.06,18.35,75.22,2.92,100.8,Jakarta,0
2016-01-20,0.3755714893341064,0.3871683776378631,20.79,27.52,29.23,26.19,18.9,82.68,4.16,100.99,Jakarta,1
2016-01-21,0.3749528229236603,0.3770759999752044,3.58,27.62,29.03,26.73,18.96,82.31,2.42,100.96,Jakarta,0
2016-01-22,0.3712521493434906,0.3751257658004761,5.19,27.94,30.05,26.31,19.85,84.56,3.1,100.88,Jakarta,0
2016-01-23,0.3912785351276397,0.3945447206497192,23.44,27.22,28.38,26.08,19.1,84.98,4.33,101.0,Jakarta,0
2016-01-24,0.3933136761188507,0.4079365134239197,6.73,27.4,29.19,25.96,18.64,82.29,2.63,101.1,Jakarta,0
2016-01-25,0.4047471880912781,0.4042856693267822,9.61,27.1,29.6,24.94,17.51,78.66,2.98,101.13,Jakarta,0
2016-01-26,0.3915444016456604,0.3780535459518432,3.45,27.75,29.38,26.3,18.46,79.66,1.81,101.05,Jakarta,0
2016-01-27,0.3835717439651489,0.382767915725708,1.88,28.51,30.66,26.84,18.93,78.27,1.53,100.96,Jakarta,0
2016-01-28,0.3818028271198272,0.3773662447929382,6.99,28.26,30.72,26.36,19.6,82.06,2.27,100.84,Jakarta,0
2016-01-29,0.3796085715293884,0.3760318160057068,3.03,28.27,30.17,26.79,20.06,83.89,2.08,100.89,Jakarta,0
2016-01-30,0.3857426047325134,0.3894939124584198,9.86,28.17,30.02,26.98,20.52,86.16,3.23,100.83,Jakarta,0
2016-01-31,0.384853184223175,0.390047550201416,15.65,27.49,29.16,26.15,19.83,86.7,3.64,100.79,Jakarta,0
2016-02-01,0.3910496830940246,0.4081502854824066,16.28,27.73,29.57,26.22,20.1,86.58,4.47,100.75,Jakarta,0
2016-02-02,0.4003153443336487,0.4002173244953155,26.15,27.32,28.55,26.3,20.08,88.56,4.3,100.84,Jakarta,0
2016-02-03,0.3915559649467468,0.3909319043159485,20.14,27.04,28.9,25.36,18.9,85.02,3.07,100.88,Jakarta,0
2016-02-04,0.3919981718063354,0.4001696705818176,6.31,27.62,30.29,25.43,19.06,82.87,3.0,100.78,Jakarta,0
2016-02-05,0.3890926539897918,0.3846919536590576,8.1,27.67,30.06,25.58,19.41,84.11,3.41,100.74,Jakarta,0
2016-02-06,0.3902052342891693,0.4001388251781463,1.32,28.14,31.29,25.62,19.25,81.31,3.12,100.7,Jakarta,0
2016-02-07,0.4010965824127197,0.4074932038784027,24.68,27.22,29.38,26.31,19.94,88.45,2.96,100.75,Jakarta,0
2016-02-08,0.4028839468955993,0.4116139709949493,52.23,27.44,29.96,25.88,19.89,87.32,3.79,100.81,Jakarta,0
