DATE,SM_ROOTZONE,SM_SURFACE,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS,CITY,FLOOD
2016-01-01,0.3328661024570465,0.3382753133773803,40.23,22.93,26.42,20.85,16.85,88.15,1.16,91.17,Bandung,0
2016-01-02,0.339738130569458,0.3462068140506744,26.67,22.29,24.6,20.84,16.96,91.75,1.48,91.19,Bandung,0
2016-01-03,0.3457726538181305,0.3555072247982025,24.38,22.53,25.56,20.64,17.13,91.47,2.07,91.19,Bandung,0
2016-01-04,0.3490241169929504,0.348244309425354,7.91,22.37,25.01,20.86,17.39,93.38,1.17,91.18,Bandung,0
2016-01-05,0.3515737056732178,0.3573975563049316,17.16,22.61,25.86,20.39,17.16,91.19,1.23,91.17,Bandung,0
2016-01-06,0.3494633436203003,0.3459062278270721,12.25,23.64,28.6,20.36,16.33,83.06,1.18,91.18,Bandung,0
2016-01-07,0.3454639911651611,0.3300569057464599,0.82,23.16,28.14,19.58,16.25,84.75,2.06,91.23,Bandung,0
2016-01-08,0.3411214649677276,0.3194033801555633,0.47,22.63,27.82,17.57,15.6,83.84,1.87,91.14,Bandung,0
2016-01-09,0.3424852788448334,0.3433268964290619,2.68,23.16,27.97,19.07,16.57,85.92,1.48,91.07,Bandung,0
2016-01-10,0.345794677734375,0.3494583964347839,14.24,23.11,26.66,20.52,17.09,88.36,1.55,91.1,Bandung,0
2016-01-11,0.3454382419586181,0.344329833984375,6.99,23.23,27.51,19.77,16.61,85.67,1.17,91.08,Bandung,0
2016-01-12,0.3504225313663482,0.3556489944458008,29.3,22.77,26.79,20.22,17.02,89.68,1.86,91.0,Bandung,0
2016-01-13,0.355486124753952,0.3590524196624756,19.43,22.98,27.49,19.27,16.62,86.78,1.63,90.99,Bandung,0
2016-01-14,0.3547038733959198,0.3468355238437652,6.65,22.7,26.51,20.04,17.18,90.62,1.91,90.92,Bandung,0
2016-01-15,0.3515433669090271,0.3441958129405975,13.43,22.13,24.62,20.31,17.03,92.65,1.72,90.89,Bandung,0
2016-01-16,0.3481744229793548,0.3330256342887878,0.15,22.52,26.68,18.9,15.09,81.63,1.05,90.89,Bandung,0
2016-01-17,0.3485407829284668,0.3434237837791443,4.48,23.09,27.52,19.13,16.68,86.35,1.28,90.89,Bandung,0
2016-01-18,0.3524808585643768,0.3530844151973724,18.38,22.61,26.09,20.5,17.33,91.68,1.18,90.85,Bandung,0
2016-01-19,0.3554883897304535,0.3564553260803222,38.08,22.4,25.61,20.48,17.19,92.07,1.48,90.9,Bandung,0
