DATE,SM_ROOTZONE,SM_SURFACE,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS,CITY,FLOOD
2016-01-01,0.256465345621109,0.2628663778305053,0.88,27.27,31.56,23.87,19.03,85.58,2.08,101.12,palembang,0
2016-01-02,0.257249116897583,0.2649385035037994,4.91,26.25,28.97,24.48,19.53,92.34,1.86,101.2,palembang,0
2016-01-03,0.2564782202243805,0.260124534368515,0.26,26.66,30.11,23.78,18.86,87.42,1.55,101.21,palembang,0
2016-01-04,0.2600348591804504,0.2922903299331665,22.63,26.8,30.07,24.37,19.38,88.91,1.54,101.16,palembang,0
2016-01-05,0.2633626461029053,0.2790741920471191,16.12,27.24,31.25,24.21,19.42,87.17,1.38,101.07,palembang,0
2016-01-06,0.2651585340499878,0.2884568870067596,9.37,27.39,31.62,24.07,19.69,87.48,1.7,101.07,palembang,0
2016-01-07,0.2619984149932861,0.2699372768402099,16.29,27.44,31.7,24.73,19.75,87.54,1.69,101.1,palembang,0
2016-01-08,0.2631948292255401,0.2873294055461883,15.14,27.26,31.31,24.2,19.5,87.39,1.86,101.04,palembang,0
2016-01-09,0.2643755376338959,0.2595408856868744,1.55,27.5,31.95,24.05,19.17,84.93,2.05,100.98,palembang,0
2016-01-10,0.260467529296875,0.2505204081535339,0.91,27.37,31.29,24.45,19.31,85.95,1.78,101.05,palembang,0
2016-01-11,0.2606604099273681,0.2703857421875,13.31,27.3,30.99,24.32,19.36,86.4,1.25,101.0,palembang,0
2016-01-12,0.2717329561710357,0.2979555130004883,13.53,27.54,31.32,24.77,19.82,86.99,1.48,100.9,palembang,0
2016-01-13,0.275285929441452,0.2935311794281006,13.66,27.7,31.76,24.68,19.77,86.25,1.13,100.84,palembang,0
2016-01-14,0.2728099524974823,0.2804750502109527,3.38,27.73,31.51,25.07,19.93,86.57,1.49,100.81,palembang,0
2016-01-15,0.2750357985496521,0.298648327589035,0.59,27.83,31.8,25.09,19.75,85.39,1.28,100.78,palembang,0
2016-01-16,0.2721246182918548,0.2737604975700378,0.51,28.07,32.62,24.62,19.69,84.19,1.18,100.74,palembang,0
2016-01-17,0.2741541862487793,0.2977237105369568,23.57,27.51,31.08,25.01,19.74,86.73,1.13,100.76,palembang,0
2016-01-18,0.2735013663768768,0.2834738194942474,3.79,27.72,31.74,24.07,19.68,85.66,1.32,100.76,palembang,0
2016-01-19,0.280247300863266,0.3054604530334472,6.15,26.81,29.23,25.14,20.06,91.41,1.59,100.89,palembang,0
2016-01-20,0.2789986133575439,0.2939524352550506,8.34,24.99,27.44,23.48,17.33,88.5,1.56,101.15,palembang,0
2016-01-21,0.2738023102283478,0.2711342275142669,2.85,26.69,31.11,23.19,18.54,85.81,1.76,100.98,palembang,0
2016-01-22,0.2715359628200531,0.2732733488082886,2.35,26.96,30.67,24.21,19.46,88.38,1.98,100.96,palembang,0
2016-01-23,0.2732670605182647,0.2920972108840942,5.33,26.41,29.11,24.51,19.34,90.57,2.4,101.04,palembang,0
2016-01-24,0.2842133343219757,0.3181995749473572,5.03,26.62,31.09,22.61,19.37,89.8,2.19,101.1,palembang,0
2016-01-25,0.2883226275444031,0.2976114749908447,13.71,26.26,28.66,24.5,19.39,91.48,2.1,101.12,palembang,0
2016-01-26,0.2838478684425354,0.2859362363815307,10.04,27.13,31.07,23.87,19.45,87.67,1.9,101.04,palembang,0
2016-01-27,0.2797051668167114,0.279618501663208,3.53,27.19,30.52,24.42,19.54,87.63,1.4,100.99,palembang,0
2016-01-28,0.2790043652057647,0.2776653170585632,0.86,27.46,30.79,24.76,19.75,87.03,1.47,100.92,palembang,0
