DATE,SM_ROOTZONE,SM_SURFACE,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS,CITY,FLOOD
2016-01-01,0.364589124917984,0.3815034627914428,22.25,26.45,29.38,24.0,18.98,86.46,1.58,98.5,Pandeglang,0
2016-01-02,0.3642895221710205,0.3832551538944244,19.11,25.87,28.29,24.41,19.04,89.71,2.24,98.57,Pandeglang,0
2016-01-03,0.366112619638443,0.388847678899765,16.5,26.41,29.59,23.71,18.42,84.47,1.98,98.57,Pandeglang,0
2016-01-04,0.3665564656257629,0.3835378885269165,4.39,26.71,29.31,24.68,18.39,82.7,1.17,98.56,Pandeglang,0
2016-01-05,0.3649251461029053,0.3765015602111816,9.99,26.57,30.04,23.79,18.91,85.93,1.21,98.5,Pandeglang,0
2016-01-06,0.3645695447921753,0.3801011741161346,6.29,26.66,29.57,24.55,19.31,86.94,1.78,98.5,Pandeglang,0
2016-01-07,0.3629353046417236,0.3677155971527099,0.47,26.87,30.41,24.22,19.13,85.49,2.41,98.52,Pandeglang,0
2016-01-08,0.3595540821552276,0.3559634387493133,0.06,26.9,31.8,22.65,18.06,81.44,2.64,98.43,Pandeglang,0
2016-01-09,0.3575151860713959,0.3548930585384369,0.58,27.22,31.68,23.65,18.28,80.53,1.28,98.4,Pandeglang,0
2016-01-10,0.35748291015625,0.3659531474113464,2.76,26.64,29.51,24.41,18.67,84.26,1.66,98.46,Pandeglang,0
2016-01-11,0.3568365573883056,0.3658447265625,3.67,27.2,31.7,23.53,18.03,79.68,0.99,98.4,Pandeglang,0
2016-01-12,0.3565718233585357,0.3700838088989258,6.93,26.9,30.27,24.13,18.62,82.85,1.9,98.33,Pandeglang,0
2016-01-13,0.3562643229961395,0.3695962429046631,8.58,26.84,30.84,23.8,18.55,83.15,1.6,98.28,Pandeglang,0
2016-01-14,0.3602275550365448,0.3846620619297027,10.25,26.89,30.41,24.48,18.96,84.47,1.67,98.24,Pandeglang,0
2016-01-15,0.3635367751121521,0.3824648559093475,5.77,26.17,28.71,24.35,18.91,87.35,1.56,98.23,Pandeglang,0
2016-01-16,0.3604577481746673,0.3693873286247253,0.16,26.74,30.57,23.53,17.61,79.62,1.13,98.18,Pandeglang,0
2016-01-17,0.3608698844909668,0.3790072798728943,1.38,27.41,32.19,23.26,18.16,78.82,1.19,98.19,Pandeglang,0
2016-01-18,0.3597898185253143,0.3713034093379974,5.08,26.0,28.34,23.42,18.8,87.49,2.66,98.2,Pandeglang,0
2016-01-19,0.358707994222641,0.3723549842834472,8.28,26.27,30.72,22.69,17.73,82.23,2.88,98.29,Pandeglang,0
2016-01-20,0.3659431934356689,0.3891520202159881,8.2,25.98,28.75,24.13,18.3,85.7,3.06,98.45,Pandeglang,0
2016-01-21,0.3637223541736603,0.3757942616939544,1.48,26.02,28.95,24.1,18.11,84.67,1.8,98.41,Pandeglang,0
2016-01-22,0.3617459237575531,0.3727301359176636,4.29,26.43,30.0,23.7,19.14,87.27,3.05,98.33,Pandeglang,0
2016-01-23,0.3723271191120147,0.3905316591262817,20.16,25.62,27.76,23.71,18.83,89.86,4.28,98.43,Pandeglang,0
2016-01-24,0.3739807903766632,0.3970264792442322,25.85,25.46,28.58,23.38,17.49,84.98,2.94,98.56,Pandeglang,0
2016-01-25,0.3787309527397156,0.3920176029205322,20.18,25.22,28.64,22.2,17.36,85.49,3.64,98.57,Pandeglang,0
2016-01-26,0.3759499192237854,0.3814715147018432,2.5,26.14,29.27,23.19,18.15,84.43,2.14,98.5,Pandeglang,0
2016-01-27,0.3739434480667114,0.3826916217803955,1.55,27.05,31.7,24.02,17.45,78.48,1.82,98.42,Pandeglang,0
2016-01-28,0.3721287548542022,0.3760692477226257,2.2,27.22,32.13,22.99,17.7,78.2,1.46,98.29,Pandeglang,0
2016-01-29,0.3693546652793884,0.3695926070213318,2.94,27.5,31.96,24.15,18.79,81.12,1.45,98.34,Pandeglang,0
2016-01-30,0.3699344992637634,0.3858012855052948,3.76,26.64,29.52,24.61,19.32,86.99,2.53,98.32,Pandeglang,0
2016-01-31,0.376003086566925,0.400270938873291,9.55,26.04,29.0,23.87,18.56,86.68,2.96,98.27,Pandeglang,0
2016-02-01,0.3805974125862121,0.3971486985683441,17.99,25.83,28.36,23.98,19.11,89.96,3.28,98.22,Pandeglang,0
2016-02-02,0.3886881470680237,0.403375893831253,34.41,25.32,27.18,23.84,19.08,92.44,3.26,98.3,Pandeglang,0
2016-02-03,0.3893281817436218,0.3939531445503235,8.22,25.04,27.4,23.11,17.98,88.89,2.8,98.36,Pandeglang,0
2016-02-04,0.3879393339157104,0.3975909352302551,6.15,25.89,29.49,23.3,18.39,86.71,2.77,98.26,Pandeglang,0
2016-02-05,0.3862850368022918,0.3934352397918701,8.48,25.97,29.43,23.43,18.4,86.27,3.1,98.23,Pandeglang,0
2016-02-06,0.3826979100704193,0.3867873847484588,1.9,26.57,30.94,23.51,18.4,83.54,2.79,98.19,Pandeglang,0
