DATE,SM_ROOTZONE,SM_SURFACE,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS,CITY,FLOOD
2016-01-01,0.3990892469882965,0.4105561971664428,2.76,28.12,31.63,25.5,18.8,79.02,1.6,99.62,semarang,0
2016-01-02,0.397996187210083,0.3866731226444244,4.81,27.1,29.13,25.45,19.02,84.26,1.68,99.66,semarang,0
2016-01-03,0.400475412607193,0.4095538556575775,30.72,27.4,30.38,25.59,19.05,83.21,1.63,99.69,semarang,0
2016-01-04,0.4132025837898254,0.4092336893081665,17.91,27.17,29.14,25.44,19.13,84.51,1.17,99.69,semarang,0
2016-01-05,0.4149739742279053,0.4257721900939941,8.16,26.94,29.16,25.35,19.3,86.2,1.73,99.65,semarang,0
2016-01-06,0.4135349988937378,0.3954209983348846,0.65,27.85,31.73,24.92,18.94,80.87,1.74,99.64,semarang,0
2016-01-07,0.4071552753448486,0.3727204799652099,0.15,28.19,32.0,25.15,18.51,77.65,1.52,99.69,semarang,0
2016-01-08,0.4031179249286651,0.3781802356243133,14.51,28.29,32.2,25.48,18.55,77.21,1.59,99.57,semarang,0
2016-01-09,0.4065721929073334,0.3898509442806244,3.09,28.22,32.19,25.28,18.85,78.8,1.48,99.51,semarang,0
2016-01-10,0.4028778076171875,0.3829514384269714,2.1,28.19,32.29,25.15,18.86,79.18,1.61,99.55,semarang,0
2016-01-11,0.4039709568023681,0.4008331298828125,0.51,27.88,30.52,25.68,19.09,81.0,1.45,99.55,semarang,0
2016-01-12,0.4038435518741607,0.3997774124145508,0.1,27.74,30.87,25.52,18.76,80.35,2.12,99.47,semarang,0
2016-01-13,0.402757853269577,0.4028909206390381,0.2,28.18,32.26,24.59,18.56,77.9,2.14,99.44,semarang,0
2016-01-14,0.3994121253490448,0.3810457289218902,0.74,28.2,32.05,25.0,19.26,80.37,2.26,99.35,semarang,0
2016-01-15,0.3960227370262146,0.3705630004405975,0.26,28.34,32.58,25.25,19.08,79.35,2.41,99.3,semarang,0
2016-01-16,0.3911736905574798,0.3560816645622253,0.79,28.56,32.64,25.71,19.02,77.79,1.3,99.27,semarang,0
2016-01-17,0.3936610221862793,0.3983706831932068,6.95,28.11,31.81,25.78,19.37,81.2,1.75,99.31,semarang,0
2016-01-18,0.3982724845409393,0.4036520421504974,12.99,27.36,30.25,25.28,19.07,83.1,2.21,99.29,semarang,0
2016-01-19,0.3964429795742035,0.3950600624084472,5.51,27.76,31.0,25.64,19.46,82.97,1.99,99.38,semarang,0
2016-01-20,0.3979256153106689,0.4040903747081756,5.79,26.76,29.05,25.2,19.01,85.8,2.78,99.53,semarang,0
2016-01-21,0.4036851227283478,0.4130714833736419,4.78,26.68,29.34,25.03,18.46,83.92,1.82,99.54,semarang,0
2016-01-22,0.4077359139919281,0.4218329191207886,17.33,26.71,29.22,24.94,18.98,85.92,2.54,99.51,semarang,0
2016-01-23,0.4153263866901397,0.4157086610794067,25.77,26.2,28.43,24.73,18.83,87.83,3.67,99.57,semarang,0
2016-01-24,0.4100373089313507,0.3953937888145447,11.62,26.33,29.1,24.59,18.03,83.81,3.39,99.68,semarang,0
2016-01-25,0.4058610796928406,0.3830454349517822,5.74,25.68,27.5,24.16,17.41,83.98,2.83,99.7,semarang,0
2016-01-26,0.4099007248878479,0.4196490049362182,6.37,25.97,28.47,24.13,18.07,85.62,2.33,99.65,semarang,0
2016-01-27,0.4201165437698364,0.4334423542022705,2.79,27.3,31.22,24.36,16.69,73.98,1.57,99.57,semarang,0
2016-01-28,0.4220860302448272,0.4106151461601257,18.46,26.64,30.09,23.59,18.33,83.59,2.21,99.45,semarang,0
2016-01-29,0.4168400168418884,0.3961734175682068,3.97,27.39,30.42,24.83,19.28,84.06,2.54,99.46,semarang,0
2016-01-30,0.4160923361778259,0.4020061194896698,10.05,27.29,29.99,25.39,20.03,87.49,3.13,99.37,semarang,0
2016-01-31,0.432948887348175,0.438234806060791,11.79,26.69,29.35,23.9,19.29,87.12,4.43,99.34,semarang,0
2016-02-01,0.4304783940315246,0.4141317307949066,2.19,26.86,30.38,23.83,19.04,85.3,4.25,99.28,semarang,0
2016-02-02,0.4294596314430237,0.430292397737503,4.41,26.54,28.67,24.85,19.19,87.52,4.0,99.39,semarang,0
2016-02-03,0.4282533526420593,0.414964497089386,2.18,26.16,27.93,24.21,17.86,83.38,2.5,99.43,semarang,0
2016-02-04,0.4317167997360229,0.4304431080818176,4.05,26.71,29.66,24.8,18.64,84.27,2.16,99.35,semarang,0
2016-02-05,0.4495327174663543,0.4570796489715576,12.72,26.32,27.78,25.0,19.15,88.36,1.67,99.33,semarang,0
2016-02-06,0.4519880712032318,0.4444808661937713,25.71,27.39,31.65,24.71,18.92,82.72,1.54,99.28,semarang,0
2016-02-07,0.4528849124908447,0.4410777986049652,25.33,26.56,28.75,25.28,19.41,88.42,1.89,99.31,semarang,0
2016-02-08,0.4538025259971618,0.4469838440418243,14.43,26.67,29.63,24.95,19.4,87.93,2.11,99.32,semarang,0
2016-02-09,0.4604608416557312,0.4582318663597107,22.87,26.58,29.26,25.11,19.24,87.65,2.03,99.28,semarang,0
2016-02-10,0.470893532037735,0.4595593214035034,14.86,25.91,28.11,24.69,18.48,87.59,3.19,99.35,semarang,0
2016-02-11,0.4789689183235168,0.4710919260978699,9.73,25.78,28.34,24.6,19.07,90.88,4.43,99.4,semarang,0
2016-02-12,0.4821823835372925,0.4692341983318329,13.37,25.56,27.17,24.11,18.91,91.3,3.72,99.46,semarang,0
2016-02-13,0.4792763292789459,0.4534739255905151,2.4,26.79,29.92,23.6,18.22,82.41,1.87,99.54,semarang,0
2016-02-14,0.4740219116210937,0.4433006644248962,1.36,27.39,30.94,24.79,18.62,81.36,1.18,99.51,semarang,0
2016-02-15,0.4779499769210815,0.4682825803756714,21.14,26.91,29.98,25.12,19.08,85.42,2.1,99.52,semarang,0
2016-02-16,0.4803495109081268,0.465549498796463,7.03,26.5,29.31,24.65,18.78,86.13,2.75,99.6,semarang,0
2016-02-17,0.4786170721054077,0.4576339721679687,3.01,26.6,29.35,24.35,18.98,86.55,2.72,99.6,semarang,0
2016-02-18,0.4753578901290893,0.452180951833725,4.73,27.42,30.61,25.2,18.79,81.88,1.19,99.51,semarang,0
2016-02-19,0.4723890125751495,0.4401038885116577,1.27,27.78,31.69,24.76,18.86,80.69,1.69,99.46,semarang,0
2016-02-20,0.4702467918395996,0.4413834810256958,5.78,27.13,30.11,25.45,19.59,86.62,2.53,99.53,semarang,0
2016-02-21,0.4797372817993164,0.4679910242557525,53.48,26.21,27.47,25.2,19.54,90.86,1.43,99.59,semarang,0
2016-02-22,0.4851693212985992,0.4707784056663513,31.57,27.23,30.68,24.85,19.09,84.21,1.72,99.66,semarang,0
2016-02-23,0.488551527261734,0.4724948406219482,25.86,26.85,29.41,25.26,19.24,86.36,1.91,99.56,semarang,0
2016-02-24,0.4880980849266052,0.466550201177597,4.8,26.34,28.61,24.84,19.19,88.67,3.06,99.52,semarang,0
2016-02-25,0.4890657663345337,0.4717567265033722,11.49,26.34,28.53,24.43,18.84,87.12,3.12,99.62,semarang,0
