DATE,CITY,FLOOD
2025-11-30,Bogor,True
2025-11-05,Pandeglang,True
2025-11-01,Bandung,True
2025-10-31,Bogor,True
2025-10-30,Kota Adm. Jakarta Timur,True
2025-10-30,Kota Adm. Jakarta Selatan,True
2025-10-28,Kota Adm. Jakarta Timur,True
2025-10-28,Kota Adm. Jakarta Selatan,True
2025-10-25,Kota Bandung,True
2025-10-25,Bandung,True
2025-10-24,Bandung,True
2025-10-22,Kota Semarang,True
2025-09-30,Bogor,True
2025-09-14,Bogor,True
2025-09-12,Kota Adm. Jakarta Selatan,True
2025-09-12,Kota Adm. Jakarta Timur,True
2025-08-29,Kota Adm. Jakarta Selatan,True
2025-08-29,Kota Adm. Jakarta Timur,True
2025-08-20,Kota Adm. Jakarta Selatan,True
2025-08-12,Bogor,True
2025-08-12,Bandung Barat,True
2025-08-09,Kota Bogor,True
2025-08-09,Bogor,True
2025-08-09,Bogor,True
2025-08-04,Bogor,True
2025-07-29,Bogor,True
2025-07-07,Kota Adm. Jakarta Selatan,True
2025-07-07,Kota Adm. Jakarta Timur,True
2025-07-07,Kota Adm. Jakarta Barat,True
2025-07-07,Kota Adm. Jakarta Utara,True
2025-07-06,Kota Adm. Jakarta Pusat,True
2025-07-06,Kota Adm. Jakarta Selatan,True
2025-07-06,Kota Adm. Jakarta Barat,True
2025-07-06,Kota Adm. Jakarta Timur,True
2025-07-05,Kota Bogor,True
2025-07-05,Bogor,True
2025-07-04,Bogor,True
2025-07-03,Bogor,True
2025-07-02,Bogor,True
2025-05-26,Pandeglang,True
2025-05-24,Pandeglang,True
2025-05-23,Bandung Barat,True
2025-05-23,Kota Semarang,True
2025-05-23,Kota Adm. Jakarta Timur,True
2025-05-16,Kota Bandung,True
2025-05-16,Kota Adm. Jakarta Timur,True
2025-05-16,Bandung,True
2025-05-15,Kota Adm. Jakarta Timur,True
2025-05-14,Bandung,True
2025-05-14,Bogor,True
2025-05-14,Bogor,True
2025-05-14,Kota Bandung,True
2025-04-28,Bogor,True
2025-04-27,Bogor,True
2025-04-27,Bogor,True
2025-04-26,Bogor,True
2025-04-18,Pandeglang,True
2025-04-12,Bogor,True
2025-04-12,Kota Adm. Jakarta Timur,True
2025-04-10,Bogor,True
2025-03-24,Kota Bandung,True
2025-03-18,Kota Adm. Jakarta Selatan,True
2025-03-18,Kota Adm. Jakarta Timur,True
2025-03-18,Kota Adm. Jakarta Barat,True
2025-03-15,Kota Bandung,True
2025-03-15,Bandung,True
2025-03-15,Bandung Barat,True
2025-03-14,Bogor,True
2025-03-09,Kota Palembang,True
