system:index,date,sm_rootzone,sm_surface,.geo
0,2015-03-31,0.38190868496894836,0.37219393253326416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2015-04-01,0.3849526345729828,0.3760296702384949,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2015-04-02,0.3896176815032959,0.3741312026977539,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2015-04-03,0.38592445850372314,0.3709886372089386,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2015-04-04,0.398256778717041,0.3913726210594177,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2015-04-05,0.39587703347206116,0.3723994791507721,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2015-04-06,0.39251092076301575,0.37562546133995056,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2015-04-07,0.38979268074035645,0.37239494919776917,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2015-04-08,0.38993242383003235,0.3764699399471283,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2015-04-09,0.38691362738609314,0.3630160093307495,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015-04-10,0.3826363980770111,0.35701316595077515,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2015-04-11,0.38101062178611755,0.36390605568885803,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2015-04-12,0.38210180401802063,0.36907583475112915,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2015-04-13,0.38191837072372437,0.3635811507701874,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2015-04-14,0.38072672486305237,0.36770501732826233,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2015-04-15,0.38241443037986755,0.3686440587043762,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2015-04-16,0.3842131495475769,0.373820036649704,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2015-04-17,0.38431715965270996,0.36622288823127747,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2015-04-18,0.38373687863349915,0.36988896131515503,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2015-04-19,0.38354727625846863,0.3699049949645996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2015-04-20,0.3824757933616638,0.3678578734397888,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2015-04-21,0.3824600577354431,0.37239256501197815,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2015-04-22,0.38359588384628296,0.36834782361984253,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2015-04-23,0.382621169090271,0.3695254921913147,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2015-04-24,0.38219404220581055,0.37048399448394775,"{""type"":""MultiPoint"",""coordinates"":[]}"
