system:index,date,sm_rootzone,sm_surface,.geo
0,2015-03-31,0.42599132657051086,0.43409883975982666,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2015-04-01,0.4247475564479828,0.4331585764884949,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2015-04-02,0.4327390193939209,0.4446420669555664,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2015-04-03,0.43177711963653564,0.4380204975605011,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2015-04-04,0.4300713539123535,0.4391478896141052,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2015-04-05,0.43171992897987366,0.4374629557132721,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2015-04-06,0.42807915806770325,0.43145737051963806,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2015-04-07,0.42752766609191895,0.43799248337745667,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2015-04-08,0.42901018261909485,0.4361165463924408,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2015-04-09,0.42618975043296814,0.430597186088562,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015-04-10,0.4218057096004486,0.41871970891952515,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2015-04-11,0.41857776045799255,0.42048564553260803,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2015-04-12,0.41750219464302063,0.42625051736831665,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2015-04-13,0.42101138830184937,0.4324288070201874,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2015-04-14,0.41992655396461487,0.42832818627357483,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2015-04-15,0.41984423995018005,0.4280312657356262,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2015-04-16,0.4188048243522644,0.4200999438762665,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2015-04-17,0.41770339012145996,0.42541173100471497,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2015-04-18,0.41840484738349915,0.42611759901046753,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2015-04-19,0.41923758387565613,0.4309859275817871,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2015-04-20,0.4227284789085388,0.4342793822288513,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2015-04-21,0.4225448966026306,0.42624083161354065,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2015-04-22,0.41885894536972046,0.41888493299484253,"{""type"":""MultiPoint"",""coordinates"":[]}"
