system:index,date,sm_rootzone,sm_surface,.geo
0,2015-03-31,0.34914806485176086,0.35696566104888916,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2015-04-01,0.3506813943386078,0.3654400706291199,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2015-04-02,0.3552854061126709,0.3739328384399414,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2015-04-03,0.35786354541778564,0.3603227436542511,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2015-04-04,0.3530449867248535,0.3527526259422302,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2015-04-05,0.35425105690956116,0.3607417643070221,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2015-04-06,0.35628655552864075,0.36398300528526306,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2015-04-07,0.35552144050598145,0.36743584275245667,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2015-04-08,0.35727861523628235,0.3657430112361908,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2015-04-09,0.35567888617515564,0.3580111265182495,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2015-04-10,0.3528359830379486,0.35718101263046265,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2015-04-11,0.35064563155174255,0.34811320900917053,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2015-04-12,0.35014989972114563,0.35351186990737915,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2015-04-13,0.34941715002059937,0.3508095443248749,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2015-04-14,0.34982767701148987,0.36167779564857483,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2015-04-15,0.36790332198143005,0.3725197911262512,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2015-04-16,0.3658415675163269,0.374491423368454,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2015-04-17,0.37153029441833496,0.37331822514533997,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2015-04-18,0.36615875363349915,0.36132878065109253,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2015-04-19,0.36390921473503113,0.3618330955505371,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2015-04-20,0.3616628050804138,0.3583211302757263,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2015-04-21,0.3615097403526306,0.36911192536354065,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2015-04-22,0.37032073736190796,0.37959355115890503,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2015-04-23,0.3668588399887085,0.3702731728553772,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2015-04-24,0.38120222091674805,0.39907896518707275,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2015-04-25,0.387920618057251,0.38362208008766174,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2015-04-26,0.3852043151855469,0.3900879919528961,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2015-04-27,0.3846951723098755,0.3809886872768402,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2015-04-28,0.3815779983997345,0.3825973570346832,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2015-04-29,0.3816368579864502,0.38325992226600647,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2015-04-30,0.38080573081970215,0.377930223941803,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2015-05-01,0.3817371726036072,0.3881075382232666,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2015-05-02,0.3892451822757721,0.3976375162601471,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2015-05-03,0.3918726146221161,0.38882753252983093,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2015-05-04,0.388148695230484,0.38017964363098145,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2015-05-05,0.38495853543281555,0.3733639121055603,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2015-05-06,0.38350796699523926,0.38090676069259644,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2015-05-07,0.38313066959381104,0.37890851497650146,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2015-05-08,0.38062262535095215,0.3713737428188324,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2015-05-09,0.37683525681495667,0.3615141212940216,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2015-05-10,0.37361058592796326,0.35693424940109253,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2015-05-11,0.37098515033721924,0.35779818892478943,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2015-05-12,0.3681950569152832,0.3535093069076538,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2015-05-13,0.36606982350349426,0.3547314405441284,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2015-05-14,0.36491385102272034,0.36030134558677673,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2015-05-15,0.37041884660720825,0.3795611262321472,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2015-05-16,0.3675512671470642,0.35954880714416504,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2015-05-17,0.36510202288627625,0.364551842212677,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2015-05-18,0.3631407916545868,0.3611321449279785,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2015-05-19,0.36044710874557495,0.35302114486694336,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2015-05-20,0.3567936420440674,0.3415760099887848,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2015-05-21,0.35439786314964294,0.34168362617492676,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2015-05-22,0.3536265790462494,0.34922295808792114,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2015-05-23,0.3512232303619385,0.34258896112442017,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2015-05-24,0.3485894501209259,0.33856382966041565,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2015-05-25,0.3463912606239319,0.3394896388053894,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2015-05-26,0.34511229395866394,0.33989933133125305,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2015-05-27,0.34435248374938965,0.34640026092529297,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2015-05-28,0.34324538707733154,0.3397968113422394,"{""type"":""MultiPoint"",""coordinates"":[]}"
