-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/01/2025 in LST
Location: latitude  -6.9031   longitude 107.6185 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 921.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS
2015,1,1,22.51,20.57,22.59,18.46,15.93,95.01,3.43,90.84
2015,1,2,5.62,20.61,22.92,18.65,15.69,93.54,3.87,90.93
2015,1,3,10.9,20.57,23.72,18.15,14.99,90.01,3.78,91.0
2015,1,4,18.11,20.3,23.49,18.06,15.24,92.77,3.2,90.86
2015,1,5,1.65,20.89,25.34,17.97,15.06,88.91,2.4,90.87
2015,1,6,1.25,21.12,25.13,17.58,15.27,88.75,3.11,90.84
2015,1,7,3.83,21.55,25.42,18.69,15.73,89.12,2.99,90.85
2015,1,8,0.79,21.15,24.89,18.59,15.31,88.93,3.83,90.93
2015,1,9,0.31,20.58,24.48,17.95,14.8,89.15,4.6,90.96
2015,1,10,0.09,20.86,25.65,17.67,14.87,88.18,3.82,90.89
2015,1,11,0.31,20.53,25.53,16.5,14.56,88.13,3.21,90.93
2015,1,12,10.52,20.98,24.89,17.97,15.62,91.15,3.7,90.88
2015,1,13,17.47,20.4,23.36,17.65,15.27,92.37,3.38,90.95
2015,1,14,11.37,21.34,24.92,18.43,15.62,89.77,2.91,91.04
2015,1,15,3.24,21.43,25.48,18.41,15.52,88.84,2.78,91.02
2015,1,16,9.51,21.19,25.19,17.84,15.48,89.66,2.6,90.99
2015,1,17,5.92,21.03,24.33,18.65,15.71,91.75,3.35,90.93
2015,1,18,2.0,20.05,23.52,17.69,14.94,92.51,3.56,91.02
2015,1,19,9.26,20.03,22.64,17.79,14.96,92.87,2.81,91.12
2015,1,20,33.27,19.63,22.77,17.29,14.18,90.73,2.37,91.23
2015,1,21,17.12,19.41,21.89,17.2,14.3,92.52,1.63,91.29
2015,1,22,50.18,20.28,23.21,17.92,15.28,93.49,2.34,91.19
2015,1,23,7.15,20.91,24.76,18.16,15.52,91.41,1.93,91.09
2015,1,24,17.35,21.1,24.23,18.68,15.63,90.9,1.81,91.08
2015,1,25,15.06,20.95,22.89,19.47,16.12,94.37,1.59,91.06
2015,1,26,38.22,20.39,22.59,18.9,15.71,95.08,1.58,91.03
2015,1,27,8.88,21.47,25.02,18.4,15.98,90.85,1.7,90.94
2015,1,28,16.91,21.14,23.06,19.42,15.96,92.35,2.14,90.9
2015,1,29,12.31,21.94,26.22,18.46,15.92,88.29,1.51,90.92
2015,1,30,14.53,21.43,24.13,19.61,16.3,92.77,2.06,91.0
2015,1,31,20.26,20.78,23.05,19.14,16.33,96.3,2.0,90.95
2015,2,1,49.32,20.34,23.1,18.0,14.99,91.39,2.13,91.08
2015,2,2,9.32,21.31,24.79,18.53,15.75,90.44,1.5,91.12
2015,2,3,2.95,21.25,24.28,18.93,15.69,90.59,1.53,91.16
2015,2,4,14.22,21.49,25.5,18.58,16.12,91.53,2.21,91.05
2015,2,5,18.61,20.89,23.4,18.64,15.54,91.61,1.81,91.08
2015,2,6,37.47,21.07,23.9,19.14,16.25,94.41,2.62,91.04
2015,2,7,21.56,21.75,25.69,18.69,15.92,89.29,1.7,91.04
2015,2,8,41.79,20.78,22.73,19.14,16.15,95.3,1.72,90.98
2015,2,9,77.33,21.4,24.67,19.33,16.28,92.83,2.66,91.05
2015,2,10,39.6,20.96,24.1,19.07,15.96,93.36,2.74,91.05
2015,2,11,7.76,21.47,24.68,18.88,16.21,92.01,1.98,90.97
2015,2,12,18.23,21.0,23.23,19.43,16.19,94.25,2.05,90.88
2015,2,13,20.08,20.83,23.33,18.61,16.22,95.28,2.81,90.84
2015,2,14,2.12,20.47,23.08,17.84,15.14,91.47,2.38,90.99
2015,2,15,8.09,21.36,24.7,18.35,15.27,87.79,1.48,90.99
2015,2,16,5.21,21.6,25.17,18.98,16.0,90.23,1.56,90.94
2015,2,17,13.61,21.28,23.16,19.93,16.77,95.8,1.36,90.84
2015,2,18,40.85,20.98,23.35,19.36,15.96,93.15,1.35,90.87
2015,2,19,25.51,20.4,21.84,18.92,15.83,95.65,2.47,90.98
2015,2,20,0.44,20.52,24.09,17.62,14.9,89.9,1.89,91.11
2015,2,21,0.07,21.12,25.43,17.84,15.18,88.32,2.47,91.03
2015,2,22,0.18,22.28,28.14,17.3,15.01,82.72,0.94,90.97
2015,2,23,2.14,21.84,25.88,18.89,15.74,87.74,1.76,91.01
2015,2,24,0.45,21.79,25.14,18.83,15.86,88.56,1.6,91.04
2015,2,25,1.25,21.82,25.13,19.48,16.24,90.44,1.5,90.96
2015,2,26,3.83,22.21,25.8,19.75,15.99,87.16,0.95,90.91
2015,2,27,10.05,22.42,26.55,19.33,15.84,85.58,0.67,90.86
2015,2,28,20.7,22.23,25.58,19.79,16.71,90.49,1.33,90.87
2015,3,1,15.32,21.55,24.43,19.78,16.6,93.61,2.47,90.89
2015,3,2,8.12,21.33,24.65,19.14,16.03,91.8,2.64,90.91
2015,3,3,33.33,20.44,22.99,18.63,15.54,93.75,2.96,90.93
2015,3,4,1.29,20.03,23.04,18.07,14.85,92.13,3.1,90.99
2015,3,5,3.28,19.93,22.98,17.37,14.59,91.16,2.58,91.07
2015,3,6,2.03,19.6,22.76,17.22,13.87,88.87,2.67,91.08
2015,3,7,4.21,19.7,23.32,16.53,14.31,90.57,3.06,90.99
2015,3,8,7.99,19.73,22.86,17.49,14.62,92.51,3.19,91.05
2015,3,9,6.31,20.59,24.59,17.04,15.1,90.72,3.12,91.11
2015,3,10,3.57,20.66,23.85,18.45,15.49,92.5,3.21,91.07
2015,3,11,11.34,20.35,23.22,17.94,15.31,93.06,3.15,91.09
2015,3,12,15.7,20.41,23.46,17.96,15.4,93.29,2.95,91.1
2015,3,13,4.55,21.34,25.09,17.93,16.0,91.64,2.22,91.11
2015,3,14,8.55,21.12,23.99,18.59,15.65,91.12,1.87,91.18
2015,3,15,23.56,21.34,25.17,18.2,15.12,87.36,1.6,91.24
2015,3,16,5.58,21.01,25.53,17.71,14.84,87.56,2.31,91.2
2015,3,17,1.42,21.68,26.62,17.25,15.63,88.05,2.0,91.0
2015,3,18,2.34,22.67,27.47,18.93,16.13,85.88,1.67,90.93
2015,3,19,11.63,22.58,27.99,18.58,16.21,86.9,1.14,90.93
2015,3,20,35.52,22.32,26.08,20.23,16.91,91.35,1.35,91.03
2015,3,21,16.58,21.6,24.48,19.67,16.5,92.96,2.06,91.09
2015,3,22,20.81,21.24,23.92,18.88,16.4,94.18,1.86,91.07
2015,3,23,6.14,22.45,27.02,19.06,16.33,87.89,1.07,90.99
2015,3,24,4.63,21.97,25.38,19.67,16.14,89.17,1.42,91.03
2015,3,25,18.02,21.96,25.27,19.78,16.47,90.79,2.08,91.06
2015,3,26,7.94,21.85,25.81,18.54,16.02,89.3,1.83,91.17
2015,3,27,32.57,22.51,26.79,19.17,16.36,87.86,1.35,91.13
2015,3,28,32.65,22.45,25.97,19.63,16.77,89.89,1.96,91.0
2015,3,29,36.88,21.98,25.58,19.48,16.16,88.99,2.05,90.99
2015,3,30,33.9,22.68,27.16,18.9,16.77,88.82,1.27,90.98
2015,3,31,19.11,22.73,27.24,19.65,16.6,87.77,1.83,91.02
2015,4,1,12.51,21.83,24.23,19.8,16.99,94.0,1.39,90.93
2015,4,2,27.43,21.83,25.07,19.28,16.62,92.02,1.95,90.83
2015,4,3,11.21,22.34,26.45,19.11,16.56,89.37,1.46,90.78
2015,4,4,13.49,22.29,25.14,20.2,17.06,91.92,1.41,90.79
2015,4,5,10.32,22.18,24.89,20.48,17.18,92.99,2.07,90.76
2015,4,6,9.13,21.38,23.3,19.99,16.54,94.07,1.64,90.8
2015,4,7,17.41,21.44,24.48,18.64,16.35,92.71,2.33,90.88
2015,4,8,14.76,21.78,25.6,18.55,16.56,92.06,1.89,90.85
2015,4,9,10.28,21.79,24.63,20.13,16.71,92.8,1.39,90.91
2015,4,10,5.46,22.53,26.85,18.94,16.3,87.17,1.56,90.99
2015,4,11,7.74,22.38,26.06,19.49,16.83,90.43,1.33,91.03
2015,4,12,7.28,21.81,23.9,20.29,16.51,91.9,1.92,91.11
2015,4,13,4.82,21.09,22.86,19.83,16.07,93.36,1.49,91.07
2015,4,14,13.96,21.49,25.34,19.22,15.95,90.69,1.5,91.01
2015,4,15,5.25,21.93,25.62,18.97,15.98,88.59,0.76,91.06
2015,4,16,4.82,21.57,23.56,20.12,16.28,91.94,1.69,91.11
2015,4,17,30.72,21.59,24.31,19.35,16.79,94.32,1.47,90.98
2015,4,18,7.5,20.76,22.61,18.92,15.3,90.77,1.73,91.02
2015,4,19,1.71,21.58,26.05,18.17,15.69,88.8,1.34,91.03
2015,4,20,6.49,21.86,25.38,19.62,15.86,88.39,1.72,91.0
2015,4,21,2.33,21.85,26.31,18.18,15.65,87.41,1.67,90.93
2015,4,22,11.03,21.47,24.16,19.15,16.48,93.41,2.28,90.92
2015,4,23,7.68,21.05,24.54,18.0,16.01,92.89,2.91,90.96
2015,4,24,2.96,20.55,23.11,18.62,15.52,93.12,3.57,90.98
2015,4,25,5.7,20.11,23.15,17.95,14.77,91.29,2.61,90.98
2015,4,26,6.85,20.97,25.05,17.4,15.56,90.93,2.6,90.96
2015,4,27,4.45,21.05,24.5,18.58,15.75,91.71,2.7,90.99
2015,4,28,3.94,21.5,24.64,19.49,16.32,92.38,2.78,90.96
2015,4,29,1.43,21.64,25.13,18.84,15.98,90.01,2.09,90.97
2015,4,30,1.58,21.78,26.01,18.65,15.94,89.16,2.19,90.98
2015,5,1,5.75,21.52,25.01,18.94,15.61,88.87,1.5,91.02
2015,5,2,2.08,20.5,23.85,18.57,15.04,90.81,2.09,91.07
2015,5,3,20.36,20.56,24.54,17.66,15.19,91.29,1.47,91.12
2015,5,4,8.15,20.98,24.98,17.8,15.2,89.34,1.78,91.11
2015,5,5,14.72,21.7,26.07,18.35,15.41,86.9,1.67,90.95
2015,5,6,13.54,21.85,25.47,18.9,16.46,91.25,2.1,90.92
2015,5,7,11.29,21.9,26.06,19.3,16.32,90.4,2.51,90.99
2015,5,8,0.75,21.45,25.66,18.61,15.84,90.19,2.67,90.95
2015,5,9,12.93,21.24,25.46,18.18,15.81,91.01,2.46,90.95
2015,5,10,2.69,21.73,25.82,19.19,16.27,91.03,2.88,90.93
2015,5,11,1.69,21.75,25.93,18.8,16.18,90.57,2.72,91.0
2015,5,12,0.78,22.67,27.31,18.57,17.0,89.86,2.21,90.95
2015,5,13,4.37,22.73,25.45,21.21,17.97,94.28,2.2,90.96
2015,5,14,3.51,22.45,25.71,20.36,17.62,94.01,1.99,91.01
2015,5,15,20.63,21.94,26.09,19.29,16.7,92.19,2.11,91.11
2015,5,16,4.34,22.44,26.62,19.91,16.96,90.89,1.93,91.01
2015,5,17,13.74,22.02,26.26,19.09,16.39,90.23,1.83,90.95
2015,5,18,1.23,21.42,26.27,17.52,15.33,87.99,1.78,91.05
2015,5,19,0.15,21.2,26.31,17.27,15.17,88.12,1.76,91.08
2015,5,20,0.04,20.62,26.5,16.16,13.94,84.83,2.01,91.11
2015,5,21,0.03,19.85,25.44,14.63,13.43,85.48,2.01,91.1
2015,5,22,0.0,20.48,26.11,15.85,13.58,83.02,1.71,91.14
2015,5,23,0.02,20.52,26.18,15.62,13.73,84.25,1.67,91.09
2015,5,24,0.02,21.0,25.68,16.75,14.82,87.35,1.69,91.09
2015,5,25,0.17,21.76,26.64,17.51,15.46,87.01,1.37,91.1
2015,5,26,0.98,22.05,26.57,18.69,15.96,88.3,1.62,91.13
2015,5,27,12.02,21.58,25.37,19.18,16.59,93.43,1.82,91.04
2015,5,28,8.06,22.03,25.91,19.09,16.65,91.4,1.89,91.0
2015,5,29,1.83,22.0,26.46,18.77,16.23,89.74,2.02,91.11
2015,5,30,1.49,21.06,25.85,16.91,15.39,89.86,2.71,91.08
2015,5,31,2.58,21.96,26.53,18.4,16.18,89.37,2.3,90.9
2015,6,1,7.56,22.29,26.47,18.75,16.34,88.65,1.5,90.92
2015,6,2,9.16,21.96,25.96,19.05,16.18,89.48,2.19,90.98
2015,6,3,2.56,22.03,26.29,18.6,16.17,89.11,1.77,91.0
2015,6,4,1.85,21.74,25.61,19.04,16.3,91.09,3.03,90.91
2015,6,5,0.77,22.2,26.53,19.29,16.5,89.88,2.99,90.87
2015,6,6,0.33,22.15,26.58,19.38,16.5,90.09,2.71,90.89
2015,6,7,1.12,21.69,25.44,19.17,16.69,93.34,2.31,90.91
2015,6,8,5.65,21.56,24.33,19.75,16.53,93.17,1.98,90.94
2015,6,9,4.1,21.05,23.47,18.55,15.59,90.81,1.8,91.03
2015,6,10,2.66,21.44,26.32,17.68,15.16,87.04,2.0,90.99
2015,6,11,1.52,21.96,26.54,18.61,16.09,89.15,1.93,90.96
2015,6,12,0.23,21.17,26.14,17.81,14.75,86.35,2.11,90.95
2015,6,13,0.14,20.61,25.83,16.08,14.63,88.12,1.86,90.94
2015,6,14,0.04,20.8,25.87,16.43,14.18,84.71,1.76,90.93
2015,6,15,0.02,20.58,25.78,16.39,13.93,84.73,1.21,90.94
2015,6,16,0.02,20.41,25.19,16.6,14.03,85.91,1.59,90.94
2015,6,17,0.01,20.31,25.53,16.62,13.73,84.56,1.25,90.89
2015,6,18,0.06,20.57,25.98,15.59,14.41,87.09,2.03,90.92
2015,6,19,0.07,20.2,25.49,16.3,14.4,88.58,2.51,91.03
2015,6,20,0.03,20.15,25.41,15.36,13.66,85.12,1.73,91.01
2015,6,21,0.31,20.57,25.37,16.58,14.77,88.87,2.85,91.08
2015,6,22,0.74,19.99,25.01,16.47,13.98,87.85,2.68,91.08
2015,6,23,0.13,19.66,24.67,16.08,13.68,87.85,3.12,91.14
2015,6,24,0.0,19.16,24.47,15.26,13.15,87.08,2.76,91.16
2015,6,25,0.01,19.51,25.39,14.89,13.15,85.45,1.93,91.14
2015,6,26,0.0,19.73,25.41,15.24,13.14,84.54,2.09,91.12
2015,6,27,0.02,20.48,26.09,15.12,14.32,87.08,2.12,91.26
2015,6,28,0.01,20.87,26.1,16.52,13.84,83.32,2.02,91.36
2015,6,29,0.02,20.35,25.46,16.61,14.2,87.17,2.1,91.35
2015,6,30,0.01,20.29,25.63,15.46,13.9,85.53,1.48,91.24
2015,7,1,0.02,20.23,24.86,16.51,14.33,88.48,1.85,91.23
2015,7,2,0.01,19.91,24.53,16.97,13.94,88.02,2.61,91.2
2015,7,3,0.01,19.42,23.67,16.32,13.09,85.45,2.21,91.12
2015,7,4,0.0,19.39,23.69,15.8,12.88,84.38,1.41,91.13
2015,7,5,0.01,19.36,24.27,15.42,13.25,86.48,1.88,91.09
2015,7,6,0.0,19.53,24.72,14.59,13.11,84.85,1.5,90.97
2015,7,7,0.02,20.09,25.11,15.76,14.05,87.33,2.12,90.96
2015,7,8,0.2,20.45,25.36,17.09,14.62,88.94,1.9,90.99
2015,7,9,0.13,20.23,24.77,17.28,14.64,90.17,1.61,90.99
2015,7,10,0.16,19.79,24.17,16.62,14.06,89.09,1.87,91.01
2015,7,11,0.04,20.36,25.78,16.15,14.13,86.88,1.46,91.06
2015,7,12,0.1,20.55,24.77,16.84,14.72,88.85,2.2,90.98
2015,7,13,0.31,21.31,26.15,17.86,15.29,88.23,2.7,90.92
2015,7,14,0.27,21.2,25.92,17.85,15.36,89.05,2.63,90.89
2015,7,15,0.18,21.14,26.5,17.0,15.31,88.77,2.72,90.88
2015,7,16,0.02,20.68,25.92,16.54,14.95,88.8,3.05,90.92
2015,7,17,0.02,20.17,26.62,15.44,13.64,84.44,2.47,91.01
2015,7,18,0.02,20.31,26.53,15.3,14.05,85.97,2.48,91.03
2015,7,19,0.02,20.33,26.17,15.42,14.25,86.86,2.35,90.97
2015,7,20,0.01,20.89,26.71,16.12,13.87,83.26,1.22,91.04
