-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/01/2025 in LST
Location: latitude  -6.6007   longitude 106.7957 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 371.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS
2015,1,1,14.92,23.79,26.74,21.69,17.4,91.17,3.71,96.77
2015,1,2,8.48,23.58,25.75,21.91,17.14,90.95,4.19,96.84
2015,1,3,13.62,23.21,25.97,21.36,16.44,89.42,3.41,96.91
2015,1,4,12.81,23.6,26.91,21.44,16.76,89.12,4.14,96.79
2015,1,5,3.84,24.03,28.47,21.17,16.39,85.37,2.89,96.78
2015,1,6,1.15,24.15,27.84,21.05,16.86,86.95,3.47,96.73
2015,1,7,3.04,24.59,28.61,21.75,17.12,86.1,3.28,96.73
2015,1,8,0.81,23.88,27.47,21.18,16.87,88.28,3.72,96.81
2015,1,9,0.11,24.12,28.53,20.95,16.66,86.46,4.38,96.84
2015,1,10,0.2,23.82,27.76,21.05,16.73,88.11,3.69,96.78
2015,1,11,0.48,24.08,28.59,20.57,16.57,86.14,3.4,96.81
2015,1,12,10.87,24.08,27.64,21.39,17.07,88.25,3.65,96.77
2015,1,13,20.51,23.6,26.77,21.24,17.17,90.99,3.2,96.82
2015,1,14,18.26,23.64,26.52,21.63,16.88,89.63,2.3,96.95
2015,1,15,4.12,24.32,28.33,21.38,17.08,87.38,2.81,96.92
2015,1,16,8.8,24.22,28.3,20.7,16.91,87.01,2.77,96.9
2015,1,17,7.54,24.46,27.78,22.16,17.31,87.58,3.25,96.83
2015,1,18,5.98,23.06,25.38,21.33,16.54,90.79,3.6,96.95
2015,1,19,7.77,23.0,25.7,21.08,16.37,90.26,2.68,97.06
2015,1,20,34.64,23.13,26.8,20.12,16.03,88.2,2.2,97.16
2015,1,21,12.39,23.1,25.68,20.82,16.2,89.12,1.79,97.23
2015,1,22,50.79,23.28,25.48,21.6,17.2,93.15,3.03,97.13
2015,1,23,9.4,23.59,26.25,21.43,16.96,90.3,2.52,97.02
2015,1,24,9.36,24.22,27.62,21.11,17.05,87.4,1.68,96.99
2015,1,25,16.47,23.79,26.53,21.58,17.56,92.18,2.23,97.0
2015,1,26,20.01,23.66,26.17,21.84,17.28,91.52,1.85,96.99
2015,1,27,2.59,24.17,27.58,21.78,17.57,90.22,2.33,96.87
2015,1,28,14.93,24.57,28.05,22.17,17.57,88.19,1.87,96.79
2015,1,29,9.03,24.66,28.34,21.3,17.63,88.04,2.13,96.81
2015,1,30,15.04,24.34,27.47,21.86,17.79,90.4,2.26,96.89
2015,1,31,12.55,23.79,26.04,22.27,17.9,93.67,3.11,96.9
2015,2,1,36.68,23.05,25.56,20.78,16.37,89.74,2.05,97.0
2015,2,2,9.32,23.7,26.66,21.58,16.91,89.41,2.2,97.05
2015,2,3,5.53,24.0,26.89,21.66,17.24,89.52,1.77,97.07
2015,2,4,10.55,24.15,27.7,21.53,17.57,90.43,2.56,96.99
2015,2,5,14.02,24.1,27.65,21.6,17.22,89.01,2.18,96.99
2015,2,6,39.15,23.91,27.33,21.81,17.68,92.01,2.5,96.96
2015,2,7,32.35,24.15,27.66,21.48,17.54,90.2,2.33,96.93
2015,2,8,64.21,23.93,26.84,21.85,17.68,91.94,2.42,96.94
2015,2,9,71.78,23.79,26.8,22.08,17.68,92.69,2.58,96.99
2015,2,10,27.63,23.66,26.51,21.52,17.21,90.94,2.33,96.98
