-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/01/2025 in LST
Location: latitude  -6.1766   longitude 106.8272 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 12.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS
2015,1,1,13.81,26.42,28.22,25.08,18.62,86.76,5.13,100.81
2015,1,2,12.43,26.11,27.15,25.26,18.59,88.2,5.24,100.9
2015,1,3,10.73,25.86,27.22,25.09,18.09,87.16,4.18,100.94
2015,1,4,7.67,26.51,28.53,25.0,18.04,83.82,5.16,100.83
2015,1,5,8.86,26.81,29.53,24.73,17.76,81.12,4.7,100.8
2015,1,6,1.21,26.96,29.28,25.21,18.34,82.91,4.67,100.74
2015,1,7,1.59,27.17,29.96,25.01,18.4,82.37,4.4,100.73
2015,1,8,1.57,26.47,28.68,24.55,18.31,85.16,4.64,100.83
2015,1,9,0.21,27.05,30.33,24.66,18.1,81.81,5.72,100.87
2015,1,10,0.82,26.65,28.6,24.89,18.35,84.43,4.71,100.81
2015,1,11,1.91,27.02,29.65,24.59,18.05,81.61,4.32,100.83
2015,1,12,12.7,26.73,28.7,25.03,18.59,85.09,4.26,100.79
2015,1,13,18.98,26.5,28.18,25.4,18.96,87.79,3.17,100.84
2015,1,14,49.79,26.18,28.13,24.55,18.05,85.6,2.55,100.97
2015,1,15,5.4,26.64,28.77,24.91,18.63,85.88,3.89,100.95
2015,1,16,9.85,26.75,28.93,24.58,18.58,85.07,3.73,100.92
2015,1,17,12.91,27.11,28.77,25.99,18.84,84.33,4.46,100.86
2015,1,18,14.32,25.76,26.78,25.1,17.68,85.71,5.24,101.0
2015,1,19,7.4,25.94,27.94,24.75,17.4,83.71,4.01,101.1
2015,1,20,32.35,25.72,27.79,24.09,17.51,85.42,3.12,101.21
2015,1,21,8.32,25.94,28.06,24.4,17.41,83.89,2.99,101.25
2015,1,22,32.33,25.85,26.93,25.03,18.59,89.71,4.02,101.15
2015,1,23,11.17,26.02,27.35,24.83,18.18,86.82,3.11,101.03
2015,1,24,9.15,26.47,28.39,24.92,18.13,84.32,2.31,101.01
2015,1,25,17.63,26.26,28.01,24.89,18.71,88.06,3.42,101.02
2015,1,26,14.87,25.97,27.41,24.75,18.47,88.45,2.76,101.01
2015,1,27,4.82,26.24,27.94,24.86,18.76,88.26,3.33,100.88
2015,1,28,13.4,26.84,28.93,25.19,18.91,85.94,2.92,100.78
2015,1,29,6.58,27.02,29.2,24.76,18.98,85.34,3.54,100.81
2015,1,30,10.38,26.88,28.54,25.5,19.11,86.6,3.37,100.9
2015,1,31,15.07,26.33,27.37,25.38,19.06,89.27,5.1,100.94
2015,2,1,23.56,25.47,26.58,24.55,17.97,88.64,2.95,101.04
2015,2,2,11.87,25.96,27.66,24.47,17.95,86.13,3.06,101.08
2015,2,3,11.74,26.57,28.01,25.43,18.67,86.36,3.72,101.08
2015,2,4,10.35,26.6,28.41,25.34,18.65,86.01,4.24,101.01
2015,2,5,17.99,26.49,28.45,25.12,18.19,84.56,3.06,101.0
2015,2,6,52.88,26.16,28.0,24.95,18.91,89.49,3.55,100.99
2015,2,7,67.13,26.19,27.91,24.59,18.64,88.07,3.69,100.97
2015,2,8,71.12,26.15,27.54,25.09,18.82,89.07,3.96,100.97
2015,2,9,49.74,25.93,27.81,24.9,18.7,89.68,3.33,101.0
2015,2,10,34.71,25.8,27.31,24.38,18.2,88.02,3.41,101.0
2015,2,11,5.02,26.07,27.69,24.64,18.21,86.6,3.28,100.94
2015,2,12,15.15,25.9,26.76,25.02,18.69,89.63,4.16,100.84
2015,2,13,24.18,25.32,26.14,24.42,18.51,91.79,4.33,100.79
2015,2,14,2.77,25.94,27.58,24.41,18.32,87.71,2.48,100.88
2015,2,15,4.71,26.66,28.74,25.07,18.55,85.2,1.99,100.87
2015,2,16,5.51,27.02,29.15,25.41,18.67,83.89,2.39,100.83
2015,2,17,9.44,26.21,27.61,25.12,18.57,87.37,2.93,100.83
2015,2,18,21.46,26.32,28.3,24.78,18.26,85.49,2.76,100.81
2015,2,19,72.45,25.21,25.46,24.86,17.87,89.37,3.58,100.97
2015,2,20,0.11,26.5,28.27,24.88,17.38,80.71,2.07,101.04
2015,2,21,0.11,27.22,29.97,24.27,17.71,79.08,2.73,100.89
2015,2,22,0.09,26.97,29.59,24.26,17.4,78.8,3.07,100.85
2015,2,23,1.72,26.71,28.95,24.41,18.46,84.58,3.09,100.91
2015,2,24,1.58,26.7,28.31,25.11,18.79,86.02,2.47,100.91
2015,2,25,1.91,27.17,29.37,25.1,18.22,81.47,1.73,100.82
2015,2,26,3.58,27.46,29.13,26.11,18.64,81.61,1.73,100.78
2015,2,27,7.4,27.35,28.98,26.4,18.84,82.9,1.85,100.73
2015,2,28,6.43,27.25,29.02,26.05,19.02,84.23,2.48,100.78
2015,3,1,10.51,26.81,28.0,25.65,18.83,85.53,2.73,100.81
2015,3,2,12.91,26.0,27.35,24.89,18.69,89.17,4.69,100.87
2015,3,3,10.0,26.32,27.87,25.08,18.01,84.4,4.65,100.88
2015,3,4,2.07,26.48,28.61,24.36,18.03,83.94,3.53,100.92
2015,3,5,3.79,26.63,28.47,24.91,18.32,84.45,3.1,100.98
2015,3,6,1.43,26.8,28.94,25.16,17.88,81.67,2.89,100.97
2015,3,7,6.52,26.5,28.47,24.64,18.27,84.79,3.41,100.9
2015,3,8,12.54,26.29,27.95,24.67,17.89,84.16,3.58,101.0
2015,3,9,6.99,26.28,27.7,24.93,18.39,86.39,3.03,101.04
2015,3,10,18.75,26.15,27.59,25.02,18.39,87.18,4.25,101.03
2015,3,11,52.98,26.04,27.25,24.96,18.57,88.52,3.51,101.03
2015,3,12,9.86,25.72,27.09,24.76,18.13,88.15,4.13,101.08
2015,3,13,8.18,26.42,27.97,24.86,18.71,87.24,3.1,101.04
2015,3,14,12.3,26.91,28.9,25.31,19.07,86.36,2.73,101.08
2015,3,15,21.1,26.28,27.97,25.1,18.6,87.56,2.88,101.18
2015,3,16,4.04,26.87,29.4,24.58,18.15,82.77,3.24,101.12
2015,3,17,0.74,27.44,30.38,24.58,18.86,82.95,3.16,100.89
2015,3,18,0.62,28.21,31.32,25.36,18.74,79.07,2.95,100.76
2015,3,19,3.65,27.59,30.14,24.98,18.5,80.63,2.52,100.82
2015,3,20,7.98,27.61,29.27,26.25,18.61,80.87,1.36,100.94
2015,3,21,7.2,26.84,29.0,24.62,17.5,79.94,1.94,101.01
2015,3,22,20.8,27.38,28.98,25.95,18.92,83.29,1.89,100.96
2015,3,23,4.94,27.38,28.84,26.46,19.05,83.78,2.1,100.87
2015,3,24,7.09,27.72,29.65,26.05,19.01,82.09,2.1,100.89
2015,3,25,12.14,27.31,28.95,26.11,19.29,85.21,2.74,100.94
2015,3,26,8.55,27.14,28.83,25.61,18.84,84.26,2.07,101.06
2015,3,27,7.02,27.86,29.95,26.42,18.51,79.49,1.58,101.03
2015,3,28,0.14,27.92,29.93,26.18,18.67,79.61,1.98,100.86
2015,3,29,1.38,28.16,30.08,26.26,18.78,78.97,2.2,100.81
2015,3,30,4.95,28.12,30.22,26.59,18.84,79.52,2.07,100.86
2015,3,31,4.79,28.21,30.37,26.2,18.72,78.6,2.24,100.85
2015,4,1,5.66,28.17,29.44,26.34,18.63,78.26,1.49,100.79
2015,4,2,4.55,28.22,30.62,25.89,18.32,76.9,1.79,100.67
2015,4,3,6.48,28.01,29.7,26.38,18.69,79.07,1.96,100.65
2015,4,4,3.98,28.13,30.69,26.29,18.93,79.75,1.63,100.64
2015,4,5,5.78,27.71,29.0,26.76,19.57,84.16,2.33,100.61
2015,4,6,5.39,27.69,28.89,26.68,19.09,82.29,2.34,100.64
2015,4,7,10.4,27.39,28.82,26.3,19.49,85.52,3.51,100.71
2015,4,8,10.09,27.25,28.93,26.09,19.15,84.81,2.43,100.75
2015,4,9,3.09,27.7,29.66,25.78,18.47,79.84,1.98,100.81
2015,4,10,0.27,28.47,30.68,26.49,18.27,75.5,1.77,100.83
2015,4,11,3.45,28.6,30.89,26.52,18.81,77.32,1.93,100.9
2015,4,12,4.18,28.45,31.16,26.47,18.52,77.27,2.25,100.98
2015,4,13,3.31,26.31,26.98,25.52,18.69,87.49,2.79,100.99
2015,4,14,5.76,27.19,29.01,25.54,18.39,81.88,1.66,100.89
2015,4,15,4.79,27.36,29.03,26.31,19.16,84.5,2.36,100.97
2015,4,16,8.52,27.61,29.9,25.43,17.91,78.38,2.64,101.03
2015,4,17,16.8,27.2,28.25,26.23,19.12,84.96,2.06,100.91
2015,4,18,4.95,28.04,30.16,25.86,17.94,76.42,1.22,100.85
2015,4,19,8.89,28.04,30.75,25.26,17.91,76.35,1.97,100.89
2015,4,20,17.45,28.18,29.77,26.64,18.53,77.93,1.38,100.86
2015,4,21,5.14,27.98,30.11,26.08,19.0,80.95,2.35,100.81
2015,4,22,5.93,27.15,29.06,25.99,19.24,85.93,3.31,100.83
2015,4,23,7.1,26.79,28.18,25.45,19.33,87.99,3.95,100.89
2015,4,24,7.68,26.52,28.08,25.44,18.82,87.15,4.75,100.91
2015,4,25,11.73,26.36,27.55,25.31,19.16,89.43,4.2,100.89
2015,4,26,4.23,26.94,29.27,24.84,18.63,84.33,4.21,100.88
2015,4,27,3.83,26.75,28.45,25.36,19.09,87.19,4.01,100.9
2015,4,28,7.11,27.34,29.29,26.08,19.34,85.36,4.43,100.86
2015,4,29,2.85,27.34,29.3,25.42,19.36,85.43,3.49,100.84
2015,4,30,1.81,27.25,29.2,25.64,19.47,86.37,3.61,100.86
2015,5,1,6.57,27.29,29.45,25.61,19.26,85.37,3.25,100.92
2015,5,2,3.68,27.29,29.64,25.45,18.28,81.22,3.51,100.95
2015,5,3,21.61,26.91,29.38,24.56,17.24,78.31,1.89,101.01
2015,5,4,12.37,26.6,28.01,25.42,18.95,87.39,2.68,100.99
2015,5,5,8.17,27.55,29.55,26.02,18.69,81.45,2.29,100.8
2015,5,6,2.78,27.83,30.34,25.55,19.15,82.28,2.62,100.77
2015,5,7,4.24,28.01,30.08,26.58,19.71,83.73,3.51,100.82
2015,5,8,1.32,27.89,29.61,26.25,19.24,82.16,3.77,100.78
2015,5,9,5.5,27.88,30.16,25.88,18.33,78.61,2.71,100.79
2015,5,10,1.52,27.54,29.76,26.04,19.45,84.75,4.84,100.77
2015,5,11,1.13,27.75,30.09,25.8,19.67,84.75,5.23,100.83
2015,5,12,0.68,27.98,30.73,25.4,19.92,84.7,3.82,100.79
2015,5,13,1.44,28.05,30.22,26.51,20.27,85.75,3.39,100.82
2015,5,14,2.16,27.81,29.87,26.1,20.11,86.3,3.7,100.86
2015,5,15,6.97,27.81,29.86,26.46,19.83,85.34,3.47,101.0
2015,5,16,2.34,27.54,29.76,25.68,19.82,86.52,3.66,100.9
2015,5,17,2.73,27.59,29.79,26.15,19.6,85.2,3.99,100.81
2015,5,18,0.64,27.42,29.68,25.5,18.96,83.48,4.15,100.92
2015,5,19,0.02,27.48,30.07,24.97,18.44,81.07,3.44,100.94
2015,5,20,0.01,27.25,29.78,25.02,17.41,77.94,3.71,100.97
2015,5,21,0.01,26.86,29.47,24.23,17.38,79.4,4.14,100.97
2015,5,22,0.0,26.94,29.9,24.3,17.2,78.25,4.03,101.02
2015,5,23,0.0,26.95,29.74,24.01,17.46,79.28,3.32,100.97
2015,5,24,0.04,26.97,29.58,24.09,18.25,82.62,3.41,100.96
2015,5,25,0.02,27.31,29.67,24.99,18.82,83.54,3.19,100.97
2015,5,26,1.7,27.49,29.85,25.44,19.3,84.71,3.1,101.0
2015,5,27,3.48,27.55,29.59,25.93,19.51,85.13,3.43,100.91
2015,5,28,1.76,27.74,30.07,25.82,19.38,83.7,3.36,100.86
2015,5,29,1.8,27.79,30.1,26.02,19.59,84.32,2.81,100.94
2015,5,30,0.28,27.78,30.34,25.4,18.46,79.93,3.07,100.91
2015,5,31,3.41,27.67,30.07,25.57,19.34,83.8,2.99,100.73
2015,6,1,7.39,27.52,29.87,25.57,19.29,84.32,2.27,100.77
2015,6,2,10.84,27.66,30.17,25.92,19.35,84.08,3.3,100.83
2015,6,3,6.33,27.67,29.83,25.99,19.7,85.31,3.32,100.83
2015,6,4,7.98,27.81,29.8,26.34,20.27,86.82,5.0,100.72
2015,6,5,1.18,28.09,30.55,26.2,19.9,84.08,4.76,100.66
2015,6,6,0.56,28.07,30.56,25.96,19.78,83.69,3.1,100.69
2015,6,7,1.4,27.74,29.86,26.67,19.66,84.81,3.07,100.76
2015,6,8,1.4,27.31,29.13,26.18,19.35,85.54,3.26,100.81
2015,6,9,2.6,26.75,27.83,25.91,18.94,86.43,2.91,100.9
