-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/01/2025 in LST
Location: latitude  -6.3076   longitude 106.1055 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 240.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS
2015,1,1,16.62,24.68,27.24,23.18,18.05,90.93,4.57,98.25
2015,1,2,11.72,24.35,26.4,22.81,17.56,90.34,4.65,98.35
2015,1,3,13.96,23.95,25.44,22.76,17.12,90.2,3.71,98.4
2015,1,4,18.22,24.52,26.86,22.76,17.35,88.41,4.9,98.29
2015,1,5,8.9,24.75,28.49,22.31,17.0,85.7,2.77,98.27
2015,1,6,1.59,24.93,27.86,22.85,17.66,87.89,3.56,98.21
2015,1,7,2.01,25.14,28.71,22.88,17.53,86.41,3.43,98.23
2015,1,8,1.36,24.49,27.26,22.37,17.46,89.15,4.2,98.31
2015,1,9,0.37,25.03,28.37,22.58,17.3,85.91,5.03,98.35
2015,1,10,0.31,24.82,27.7,22.68,17.42,87.37,4.17,98.28
2015,1,11,1.05,25.01,28.53,22.46,17.26,85.88,3.89,98.31
2015,1,12,11.44,25.08,28.1,23.06,17.64,87.16,4.11,98.26
2015,1,13,24.61,24.83,27.31,22.98,17.98,89.95,3.45,98.31
2015,1,14,19.31,24.61,27.18,22.84,17.59,89.29,2.81,98.42
2015,1,15,4.57,25.16,28.48,22.78,17.54,86.4,2.94,98.41
2015,1,16,10.06,25.44,28.79,22.69,17.45,84.54,2.49,98.38
2015,1,17,8.46,25.46,28.48,23.2,17.88,86.49,3.19,98.31
2015,1,18,9.6,24.43,26.59,22.71,17.37,89.09,3.81,98.42
2015,1,19,10.24,23.95,26.47,22.37,16.86,89.01,2.65,98.54
2015,1,20,27.74,24.33,27.52,21.59,16.27,84.55,2.16,98.63
2015,1,21,9.5,24.64,28.18,21.94,16.86,86.18,2.04,98.67
2015,1,22,51.79,24.06,25.91,22.62,17.69,92.77,3.57,98.59
2015,1,23,16.29,24.48,26.91,22.41,17.46,89.41,2.91,98.47
2015,1,24,12.19,24.83,27.8,22.64,17.6,88.18,1.86,98.46
2015,1,25,18.64,24.46,26.75,22.73,17.92,91.63,2.84,98.47
2015,1,26,16.1,24.48,26.49,22.99,17.45,89.16,1.4,98.45
2015,1,27,3.12,24.97,28.02,22.84,17.83,88.42,2.22,98.32
2015,1,28,12.21,25.21,28.44,23.19,17.78,87.0,2.1,98.26
2015,1,29,5.29,25.18,28.39,22.7,18.19,89.16,2.64,98.28
2015,1,30,3.47,25.05,27.44,23.13,18.29,90.29,2.43,98.37
2015,1,31,16.28,24.46,26.65,22.36,18.06,92.03,2.82,98.38
2015,2,1,36.6,23.95,26.27,22.15,16.72,88.02,1.84,98.47
2015,2,2,15.51,24.53,27.31,22.41,17.27,88.18,2.38,98.52
2015,2,3,5.15,25.25,27.95,23.15,17.4,85.1,1.51,98.53
2015,2,4,8.61,24.94,27.91,22.81,17.75,88.27,2.25,98.47
