-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 12/01/2025 in LST
Location: latitude  -6.9953   longitude 110.4183 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 137.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,QV2M,RH2M,WS10M,PS
2015,1,1,17.08,25.63,28.34,24.29,18.4,88.54,2.97,99.28
2015,1,2,34.3,25.6,28.25,23.38,17.24,83.39,2.83,99.37
2015,1,3,22.31,25.55,27.49,23.6,17.47,84.76,2.72,99.44
2015,1,4,4.59,25.89,28.63,23.76,17.71,84.23,3.58,99.32
2015,1,5,12.32,26.35,29.4,24.2,17.97,83.27,1.68,99.3
2015,1,6,4.76,26.39,29.8,23.54,17.31,80.2,1.86,99.29
2015,1,7,0.5,26.71,30.19,23.88,18.16,82.54,1.95,99.28
2015,1,8,2.2,26.26,29.15,24.02,18.33,85.2,2.77,99.32
2015,1,9,0.14,26.94,31.06,23.9,17.67,79.76,3.05,99.31
2015,1,10,2.51,26.86,30.3,24.29,18.21,82.05,3.1,99.27
2015,1,11,10.26,26.48,29.53,24.43,18.5,84.92,3.69,99.35
2015,1,12,5.63,26.38,29.27,24.32,18.5,85.41,3.49,99.34
2015,1,13,10.61,25.72,27.84,24.09,18.91,90.46,4.04,99.4
2015,1,14,2.41,26.07,28.13,24.49,18.51,87.07,3.24,99.5
2015,1,15,2.54,26.62,30.09,24.23,17.94,82.23,2.05,99.47
2015,1,16,12.16,26.52,30.13,23.94,17.91,82.54,2.17,99.46
2015,1,17,11.86,25.94,28.48,23.98,18.21,86.19,4.43,99.41
2015,1,18,5.13,25.45,28.25,23.63,17.46,85.28,4.42,99.52
2015,1,19,25.89,25.18,27.6,23.66,17.62,87.46,4.17,99.61
2015,1,20,16.76,24.59,26.12,23.67,17.87,91.7,3.19,99.71
2015,1,21,2.82,24.49,26.2,23.29,17.02,88.16,2.82,99.82
2015,1,22,3.09,24.84,27.23,23.03,17.44,88.3,2.99,99.72
